numero_celular;data_captura;tipo_cupom;tipo_loja;local_captura;latitude;longitude;nome_loja;endereco_loja;valor_compra;valor_cupom
(41) 96047-8110;05/07/2025;Produto;mercado express;Calçada aleatória;-23.563850985753998;-46.650041479290294;Pão de Açúcar;Rua Pamplona, 1704;834.43;28.21
(11) 94020-8306;12/07/2025;Desconto;mercado express;Calçada aleatória;-23.563805693438503;-46.64954309104299;Pão de Açúcar;Rua Pamplona, 1704;884.21;398.81
(11) 92863-4530;19/07/2025;Produto;eletrodoméstico;Shopping Cidade São Paulo;-23.563227246012403;-46.65237324108699;Kalunga;Rua Augusta, 2220;903.79;48.43
(11) 94282-1224;19/07/2025;Produto;móveis;Semáforo;-23.561526236155306;-46.6537697695812;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;792.39;10.82
(11) 91506-1278;05/07/2025;Produto;outros;Shopping Pátio Paulista;-23.5706898423157;-46.645488231986896;Smart Fit;Av. Paulista, 2006;146.92;8.34
(11) 98991-7698;11/07/2025;Produto;móveis;Semáforo;-23.562139025307808;-46.65413971892599;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;920.12;38.0
(11) 93034-3780;26/07/2025;Cashback;móveis;Shopping Cidade São Paulo;-23.5630844113185;-46.65287698407339;Daiso Japan;Shopping Pátio Paulista, Rua Treze de Maio, 1947;534.74;26.74
(11) 91841-7725;06/07/2025;Cashback;outros;Calçada aleatória;-23.564517475349696;-46.65016868625871;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;534.23;26.71
(11) 91302-3943;20/07/2025;Desconto;farmácia;MASP;-23.561717849336006;-46.65578672580021;Drogaria São Paulo;Av. Paulista, 1230;581.38;259.78
(11) 95801-7264;27/07/2025;Produto;eletrodoméstico;Semáforo;-23.562272407222604;-46.65442369111041;Kalunga;Rua Augusta, 2220;322.49;15.15
(11) 96646-8529;26/07/2025;Produto;vestuário;Calçada aleatória;-23.5635603053693;-46.6500677328901;Havaianas;Av. Paulista, 2439;809.54;45.73
(11) 97656-1721;05/07/2025;Produto;outros;Parque Trianon;-23.56399174153851;-46.6574264244558;Smart Fit;Av. Paulista, 2006;113.63;5.54
(11) 94435-1274;20/07/2025;Desconto;restaurante;Estação Consolação;-23.5559343148173;-46.66158472322301;Subway;Av. Paulista, 2026;379.96;154.67
(11) 96537-1121;05/07/2025;Cashback;vestuário;Estação Consolação;-23.556116298073203;-46.661505290594405;Lojas Americanas;Av. Paulista, 2300;774.37;38.72
(11) 97620-5939;26/07/2025;Desconto;vestuário;Estação Consolação;-23.5559511916069;-46.66170550812491;Havaianas;Av. Paulista, 2439;230.59;62.4
(11) 94825-1734;29/07/2025;Produto;vestuário;Parque Trianon;-23.5641925119836;-46.6564433165446;Lojas Americanas;Av. Paulista, 2300;382.44;7.52
(61) 98269-7275;26/07/2025;Cashback;vestuário;MASP;-23.561418049167393;-46.6561983132786;Lojas Americanas;Av. Paulista, 2300;804.24;40.21
(11) 92264-5760;06/07/2025;Produto;móveis;Shopping Cidade São Paulo;-23.5629102365263;-46.65266925309489;Fast Shop;Shopping Cidade São Paulo, Av. Paulista, 1230;763.83;37.22
(11) 93131-7691;04/07/2025;Desconto;outros;Shopping Cidade São Paulo;-23.563094340921502;-46.65289090103709;Livraria Cultura;Conjunto Nacional - Av. Paulista, 2073;904.61;261.44
